"id","title","description","status","priority","tags","startDate","dueDate","points","projectId","authorUserId","teamId","assignedUserId"
1,"Task 1","Design the main module.","Work In Progress","Urgent","Design","2023-01-10 00:00:00","2023-04-10 00:00:00",NULL,1,1,NULL,2
2,"Task 2","Implement the navigation algorithm.","To Do","High","Coding","2023-01-15 00:00:00","2023-05-15 00:00:00",NULL,2,3,NULL,4
3,"Task 3","Develop renewable energy solutions.","Work In Progress","Urgent","Development","2023-03-20 00:00:00","2023-09-20 00:00:00",NULL,3,5,NULL,6
4,"Task 4","Outline new software development workflows.","To Do","High","Planning","2023-01-25 00:00:00","2023-06-25 00:00:00",NULL,4,7,NULL,8
5,"Task 5","Research AI models for prediction.","Work In Progress","Urgent","Research","2023-04-20 00:00:00","2023-10-20 00:00:00",NULL,5,9,NULL,10
6,"Task 6","Biotech product testing.","To Do","Backlog","Testing","2023-03-01 00:00:00","2023-08-01 00:00:00",NULL,6,11,NULL,12
7,"Task 7","AI optimization for golf equipment.","Work In Progress","Urgent","Optimization","2023-05-15 00:00:00","2023-11-15 00:00:00",NULL,7,13,NULL,14
8,"Task 8","Overhaul of the database for hotel management.","To Do","High","Database","2023-04-01 00:00:00","2023-10-01 00:00:00",NULL,8,15,NULL,16
9,"Task 9","Upgrade telecom infrastructure.","Work In Progress","Urgent","Infrastructure","2023-06-10 00:00:00","2023-12-10 00:00:00",NULL,9,17,NULL,18
10,"Task 10","Enhance security protocols.","To Do","Urgent","Security","2023-07-05 00:00:00","2024-01-05 00:00:00",NULL,10,19,NULL,20
11,"Task 11","Finalize AI training parameters.","Work In Progress","Urgent","AI, Training","2023-01-20 00:00:00","2023-05-20 00:00:00",NULL,5,1,NULL,3
12,"Task 12","Update server security protocols.","To Do","High","Security","2023-02-10 00:00:00","2023-06-10 00:00:00",NULL,1,2,NULL,4
13,"Task 13","Redesign user interface for better UX.","Work In Progress","Urgent","Design, UX","2023-03-15 00:00:00","2023-07-15 00:00:00",NULL,2,5,NULL,6
14,"Task 14","Implement real-time data analytics.","To Do","High","Analytics","2023-04-05 00:00:00","2023-08-05 00:00:00",NULL,3,7,NULL,8
15,"Task 15","Develop end-to-end encryption solution.","Work In Progress","Urgent","Encryption","2023-05-01 00:00:00","2023-09-01 00:00:00",NULL,4,9,NULL,10
16,"Task 16","Optimize cloud storage usage.","To Do","Backlog","Cloud, Storage","2023-06-15 00:00:00","2023-10-15 00:00:00",NULL,5,11,NULL,12
17,"Task 17","Test software for hardware compatibility.","Work In Progress","Urgent","Testing, Hardware","2023-07-10 00:00:00","2023-11-10 00:00:00",NULL,6,13,NULL,14
18,"Task 18","Create new data visualization tools.","To Do","High","Visualization","2023-08-05 00:00:00","2023-12-05 00:00:00",NULL,7,15,NULL,16
19,"Task 19","Build prototype for new IoT devices.","Work In Progress","Urgent","IoT","2023-09-01 00:00:00","2024-01-01 00:00:00",NULL,8,17,NULL,18
20,"Task 20","Update legacy systems to new tech standards.","To Do","Urgent","Legacy, Upgrade","2023-10-10 00:00:00","2024-02-10 00:00:00",NULL,9,19,NULL,20
21,"Task 21","Establish new network security framework.","Work In Progress","Urgent","Security","2023-01-30 00:00:00","2023-05-30 00:00:00",NULL,10,1,NULL,3
22,"Task 22","Revise application deployment strategies.","To Do","High","Deployment","2023-02-20 00:00:00","2023-06-20 00:00:00",NULL,1,2,NULL,4
23,"Task 23","Conduct market analysis for product fit.","Work In Progress","Urgent","Market Analysis","2023-03-25 00:00:00","2023-07-25 00:00:00",NULL,2,5,NULL,6
24,"Task 24","Optimize user feedback collection mechanism.","To Do","High","Feedback","2023-04-15 00:00:00","2023-08-15 00:00:00",NULL,3,7,NULL,8
25,"Task 25","Integrate new API for third-party services.","Work In Progress","Urgent","API Integration","2023-05-05 00:00:00","2023-09-05 00:00:00",NULL,4,9,NULL,10
26,"Task 26","Update internal tooling for development teams.","To Do","Backlog","Tooling","2023-06-25 00:00:00","2023-10-25 00:00:00",NULL,5,11,NULL,12
27,"Task 27","Prepare cloud migration strategy document.","Work In Progress","Urgent","Cloud Migration","2023-07-20 00:00:00","2023-11-20 00:00:00",NULL,6,13,NULL,14
28,"Task 28","Design scalable database architecture.","To Do","Medium","Database Design","2023-08-15 00:00:00","2023-12-15 00:00:00",NULL,7,15,NULL,16
29,"Task 29","Prototype new mobile technology.","Work In Progress","Urgent","Mobile Tech","2023-09-10 00:00:00","2024-01-10 00:00:00",NULL,8,17,NULL,18
30,"Task 30","Enhance data encryption levels.","To Do","High","Encryption","2023-10-15 00:00:00","2024-02-15 00:00:00",NULL,9,19,NULL,20
31,"Task 31","Refactor backend code for better maintainability.","Work In Progress","Urgent","Refactoring, Backend","2023-11-01 00:00:00","2024-03-01 00:00:00",NULL,10,20,NULL,1
32,"Task 32","Expand the network infrastructure to support increased traffic.","To Do","Medium","Networking, Infrastructure","2023-11-05 00:00:00","2024-01-05 00:00:00",NULL,1,2,NULL,3
33,"Task 33","Create a new client dashboard interface.","Work In Progress","Urgent","UI, Dashboard","2023-11-10 00:00:00","2024-02-10 00:00:00",NULL,2,4,NULL,5
34,"Task 34","Develop an automated testing framework for new software releases.","To Do","Medium","Testing, Automation","2023-11-15 00:00:00","2024-03-15 00:00:00",NULL,3,6,NULL,7
35,"Task 35","Optimize database queries to improve application performance.","Work In Progress","Urgent","Database, Optimization","2023-11-20 00:00:00","2024-01-20 00:00:00",NULL,4,8,NULL,9
36,"Task 36","Implement end-user training for new system features.","To Do","Backlog","Training, User Experience","2023-11-25 00:00:00","2024-01-25 00:00:00",NULL,5,10,NULL,11
37,"Task 37","Conduct a comprehensive security audit of the existing infrastructure.","Work In Progress","Urgent","Security, Audit","2023-12-01 00:00:00","2024-02-01 00:00:00",NULL,6,12,NULL,13
38,"Task 38","Revise mobile app to incorporate new payment integrations.","To Do","Medium","Mobile, Payments","2023-12-05 00:00:00","2024-02-05 00:00:00",NULL,7,14,NULL,15
39,"Task 39","Update cloud configuration to optimize costs.","Work In Progress","Urgent","Cloud, Cost Saving","2023-12-10 00:00:00","2024-02-10 00:00:00",NULL,8,16,NULL,17
40,"Task 40","Implement automated backup procedures for critical data.","To Do","High","Backup, Automation","2023-12-15 00:00:00","2024-02-15 00:00:00",NULL,9,18,NULL,19
41,"New Task From Postman","This is a task created via the API.","Work In Progress","High","API, Test","2024-07-20 10:00:00","2024-08-01 10:00:00",5,1,2,NULL,4
42,"New Task From Postman","This is a task created via the API.","Completed","High","Deployment","2024-07-20 10:00:00","2024-08-01 10:00:00",5,1,2,NULL,4
